method	n	N_out	cost_target	draft_cost	verify_ops	wall_time_token	AATPS_proxy
ersd	1	34.61	0.6121386554621848	0.6121386554621848	21.185	0.03014862623435109	1.6408806741821615
ersd	2	34.8	0.4971890756302521	0.9793781512605042	27.35	0.03052902811515231	2.0370700775795
ersd	3	34.915	0.4403571428571429	1.2822142857142855	29.97	0.03247523314211549	2.3151938837913484
ersd	4	34.895	0.4120252100840336	1.5812436974789916	31.45	0.0354301906433426	2.4995397318287598
ersd	5	34.93	0.39498319327731096	1.8706302521008404	32.365	0.038292848388687906	2.6331322891075213
ersd	6	34.955	0.380609243697479	2.136655462184874	32.98	0.041202289335867934	2.7447205191824002
ersd	7	34.995	0.3740378151260505	2.3991218487394956	33.33	0.04448966439731983	2.8134897972040007
ersd	8	34.995	0.36903361344537816	2.673983193277311	33.545	0.04769390357342086	2.8650092479330094
ersd_nocc	1	34.62	0.6456932773109244	0.6456932773109244	22.355	0.030921514906803102	1.557901618625127
ersd_nocc	2	34.83	0.5387941176470588	1.0620168067226892	28.195	0.032472781877557776	1.8831848225457384
ersd_nocc	3	34.895	0.49488235294117644	1.4425042016806726	30.74	0.035726067073204935	2.071363802060152
ersd_nocc	4	34.965	0.4677731092436974	1.7885210084033616	32.0	0.03925962839507255	2.2099994226100526
ersd_nocc	5	34.965	0.45221428571428574	2.1259285714285716	32.785	0.04305241366694955	2.29971283289202
ersd_nocc	6	34.98	0.4426428571428571	2.458285714285714	33.31	0.04690936499783973	2.3640224248523474
ersd_nocc	7	34.985	0.4391302521008403	2.8026260504201685	33.62	0.0510278233329789	2.392641152615812
ersd_nocc	8	34.99	0.435109243697479	3.1274453781512603	33.74	0.05474849993541461	2.427386508652964
ersd_nocc_wm	1	34.655	0.6454915966386554	0.6454915966386554	22.37	0.03200549130980708	1.5581173643332682
ersd_nocc_wm	2	34.84	0.5425084033613445	1.069159663865546	28.355	0.03349929771002601	1.8714853055578253
ersd_nocc_wm	3	34.925	0.49932352941176467	1.453970588235294	30.83	0.03680863316820449	2.051358672308632
ersd_nocc_wm	4	34.945	0.4673781512605042	1.782798319327731	31.9	0.03979618155054685	2.2188528284148235
ersd_nocc_wm	5	34.965	0.4604621848739496	2.160453781512605	32.795	0.04456485544433113	2.2615754569682
ersd_nocc_wm	6	34.975	0.45041176470588234	2.4988991596638654	33.245	0.04851031859782564	2.3328739862075776
ersd_nocc_wm	7	34.99	0.4436512605042017	2.827701680672269	33.565	0.05245002541421842	2.3654780133938416
ersd_nocc_wm	8	34.98	0.43935714285714284	3.1555714285714282	33.685	0.056516654040633135	2.397675898111463
ersd_wm	1	34.615	0.6137647058823529	0.6137647058823529	21.245	0.0311162519965853	1.636383184524603
ersd_wm	2	34.74	0.4941386554621849	0.9755630252100841	27.315	0.0313227187755729	2.0502953293014623
ersd_wm	3	34.88	0.43959243697478995	1.2824915966386556	30.05	0.03322347189698901	2.3217363378150915
ersd_wm	4	34.915	0.4053445378151261	1.5565210084033614	31.47	0.03552395138620328	2.5502944438602335
ersd_wm	5	34.965	0.3919789915966386	1.857609243697479	32.525	0.038838147446888835	2.652321655619063
ersd_wm	6	34.975	0.3818151260504202	2.127747899159664	32.995	0.04208981250414327	2.7327762205759494
ersd_wm	7	34.965	0.37129831932773116	2.392373949579832	33.335	0.04506360563610782	2.8220052249092498
ersd_wm	8	34.985	0.36969327731092433	2.676403361344538	33.59	0.048709787629231685	2.8540209134690557
